,Case Number,Charge Number,Description,Statute,Level,Date
30,C2101423,4,EVADING ARREST,39-16-603,Misdemeanor A,01/10/2020
31,C2101423,5,RECKLESS DRIVING,55-10-205,Misdemeanor B,01/10/2020
32,C2104749,1,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,06/17/2021
33,C2105003,1,AGGRAVATED ASSAULT,39-13-102,Felony C,07/12/2020
34,C2002740,1,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,08/19/2019
35,C2002740,2,CHILD ABUSE/NEG U/6 YRS OLD,39-15-401,Felony E,08/19/2019
36,C2103411,1,SECOND DEGREE MURDER,39-13-210,Felony A,04/25/2021
37,C2100338,1,FIRST DEGREE MURDER,39-13-202,Felony M,04/29/2020
38,C2100338,2,FIRST DEGREE MURDER,39-13-202,Felony M,04/29/2020
39,C2103862,1,CHILD ABUSE/NEG U/6 YRS OLD,39-15-401,Felony E,10/19/2020
40,C2101996,1,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2019
41,C2101996,2,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2019
42,C2101996,3,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2019
43,C2101996,4,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2019
44,C2101996,5,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,09/01/2019
45,C2101996,6,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,09/01/2019
46,C2101997,1,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2019
47,C2101997,2,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2019
48,C2101997,3,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2019
49,C2101997,4,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2019
50,C2101997,5,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,09/01/2019
51,C2101997,6,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,09/01/2019
52,C2102005,1,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2019
53,C2102005,2,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2019
54,C2102005,3,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2019
55,C2102005,4,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2019
56,C2102005,5,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,09/01/2019
57,C2102005,6,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,09/01/2019
58,C2102006,1,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2019
59,C2102006,2,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2019
60,C2102006,3,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2019
61,C2102006,4,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2019
62,C2102006,5,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,09/01/2019
63,C2102006,6,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,09/01/2019
64,C2102013,1,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2016
65,C2102013,2,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2016
66,C2102013,3,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2016
67,C2102013,4,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2016
68,C2102013,5,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2016
69,C2102013,6,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2016
70,C2102014,1,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2016
71,C2102014,2,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2016
72,C2102014,3,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2016
73,C2102014,4,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2016
74,C2102014,5,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2016
75,C2102014,6,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2016
76,C2101987,1,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2019
77,C2101987,2,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2019
78,C2101987,3,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,01/01/2019
79,C2101987,4,FIRST DEGREE MURDER,39-13-202,Felony M,01/01/2019
80,C2101987,5,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,09/01/2019
81,C2101987,6,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,09/01/2019
82,C2104472,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,09/17/2020
83,C2104472,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,09/17/2020
84,C2104472,3,EVADING ARREST,39-16-603,Misdemeanor A,09/17/2020
85,C2104472,4,RESISTING OFFICIAL DETENTION,39-16-602,Misdemeanor B,09/17/2020
86,C2006079,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,02/09/2020
87,C2006079,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,02/09/2020
88,C2006079,3,RECKLESS DRIVING,55-10-205,Misdemeanor B,02/09/2020
89,C2103865,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,12/07/2019
90,C2103865,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,12/07/2019
91,C2103865,3,RECKLESS DRIVING,55-10-205,Misdemeanor B,12/07/2019
92,C1908325,1,AGGRAVATED ROBBERY,39-13-402,Felony B,11/19/2018
93,C1908427,1,AGGRAVATED ROBBERY,39-13-402,Felony B,11/26/2018
94,C1905893,1,VANDALISM $1000 OR LESS,39-14-408,Misdemeanor A,12/28/2018
95,C1908266,1,FIRST DEGREE MURDER,39-13-202,Felony M,11/29/2018
96,C1908266,2,CRIMINAL ATTEMPT-ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony B,11/29/2018
97,C1908266,3,CRIMINAL ATTEMPT-AGGRAVATED ROBBERY,39-13-402,Felony C,11/29/2018
98,C2104031,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,03/29/2020
99,C2104031,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,03/29/2020
100,C2104890,1,FAIL TO APPEAR IN MISDEMEANOR CASE,39-16-609,Misdemeanor A,06/04/2021
101,C2104889,1,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,01/03/2021
102,C2104889,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,01/03/2021
103,C2104889,3,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,01/03/2021
104,C2104889,4,LEAVE SCENE ACCIDENT-STRIKE UN VEH,55-10-104,Misdemeanor C,01/03/2021
105,C2104889,5,RECKLESS DRIVING,55-10-205,Misdemeanor B,01/03/2021
106,C2101450,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,09/20/2019
107,C2101450,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,09/20/2019
108,C2101450,3,RECKLESS DRIVING,55-10-205,Misdemeanor B,09/20/2019
109,C2102912,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,06/17/2020
110,C2102912,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,06/17/2020
111,C2102912,3,RECKLESS DRIVING,55-10-205,Misdemeanor B,06/17/2020
112,C2104150,1,DRIVING U/INFLUENCE INTOX/DRUGS EQUAL OR GREATER THAN 4,55-10-401,Felony E,05/15/2020
113,C2104150,2,DRIVING U/INFLUENCE INTOX/DRUGS EQUAL OR GREATER THAN 4,55-10-401,Felony E,05/15/2020
114,C1908424,1,CRIMINAL ATTEMPT-AGGRAVATED ROBBERY,39-13-402,Felony C,11/19/2018
115,C1908424,2,CRIMINAL ATTEMPT-AGGRAVATED ROBBERY,39-13-402,Felony C,11/19/2018
116,C1908424,3,AGGRAVATED ASSAULT,39-13-102,Felony C,11/19/2018
117,C1908424,4,AGGRAVATED ASSAULT,39-13-102,Felony C,11/19/2018
118,C2101727,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,10/26/2019
119,C2101727,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,10/26/2019
120,C2101727,3,RECKLESS DRIVING,55-10-205,Misdemeanor B,10/26/2019
121,C2101727,4,POSS OF HANDGUN WHILE INTOXICATED,39-17-1321,Misdemeanor A,10/26/2019
122,C2103943,1,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,01/23/2020
123,C2103943,2,EVADING ARREST,39-16-603,Misdemeanor A,01/23/2020
124,C2104137,1,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,09/08/2020
125,C2104137,2,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,09/08/2020
126,C2104837,1,FIRST DEGREE MURDER,39-13-202,Felony M,04/11/2021
127,C2104837,2,ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony A,04/11/2021
128,C2104837,3,AGGRAVATED BURGLARY,39-14-403,Felony C,04/11/2021
129,C2104837,4,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,04/11/2021
130,C2102914,1,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,11/29/2020
131,C2102914,2,DRIVING U/INFLUENCE INTOX/DRUGS,55-10-401,Misdemeanor A,11/29/2020
132,C2102914,3,RECKLESS DRIVING,55-10-205,Misdemeanor B,11/29/2020
133,C1807598,1,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,02/27/2018
134,C1807598,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,09/15/2021
135,C1807841,1,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,11/16/2017
136,C1807841,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,09/15/2021
137,C2003496,1,UNLAWFUL POSS WEAPON-PUBLIC PLACE,39-17-1307,Misdemeanor A,03/03/2020
138,C2003497,1,AGGRAVATED ROBBERY,39-13-402,Felony B,02/28/2020
139,C2100674,1,PETITION REVIEW MENT. EVAL/JUD DET,33-7-301,Civil Ordinances,04/08/2021
140,C2104988,1,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,03/07/2020
141,C2104988,2,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,03/07/2020
142,C2000779,1,RAPE OF A CHILD,39-13-522,Felony A,05/12/2014
143,C2003485,1,RECKLESS ENDANGERMENT-DEADLY WEAPON,39-13-103,Felony E,11/15/2019
144,C2105227,1,VIO OF SEX OFFENDER REGISTRY ACT,40-39-208,Felony E,11/30/2020
145,C2105228,1,FAIL TO APPEAR IN MISDEMEANOR CASE,39-16-609,Misdemeanor A,05/27/2021
146,C2102514,1,RAPE OF A CHILD,39-13-522,Felony A,06/01/2018
147,C2102514,2,RAPE,39-13-503,Felony B,10/17/2019
148,C2102514,3,STATUTORY RAPE,39-13-506,Felony E,10/17/2019
149,C2102815,1,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/12/2020
150,C2102815,2,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/12/2020
151,C2102815,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,10/06/2021
152,C2100248,1,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
153,C2100248,2,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
154,C2100248,3,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
155,C2100248,4,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
156,C2100248,5,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
157,C2100248,6,IDENTITY THEFT,39-14-150,Felony D,09/10/2020
158,C2100248,7,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
159,C2100248,8,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
160,C2100248,9,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
161,C2100248,10,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
162,C2100248,11,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
163,C2100248,12,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
164,C2100248,13,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
165,C2100248,14,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
166,C2100248,15,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
167,C2100248,16,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,09/10/2020
168,C2100248,18,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,09/10/2020
169,C2100248,19,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/10/2020
170,C2100248,20,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/10/2020
171,C2100248,21,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/10/2020
172,C2100248,22,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/10/2020
173,C2100248,101,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,10/06/2021
174,C2003604,1,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,05/21/2019
175,C2003604,2,CRIMINAL ATTEMPT-FIRST DEGREE MURDER,39-13-202,Felony A,05/21/2019
176,C2003604,3,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,05/21/2019
177,C2003604,4,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,05/21/2019
178,C2102891,1,RECKLESS ENDANGERMENT-DEADLY WEAPON,39-13-103,Felony E,03/22/2021
179,C2006532,1,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,04/23/2019
180,C2006532,2,IDENTITY THEFT,39-14-150,Felony D,04/23/2019
181,C2103461,1,VANDALISM $1000 OR LESS,39-14-408,Misdemeanor A,09/15/2019
182,C1810315,1,RAPE,39-13-503,Felony B,03/08/2018
183,C2101811,1,SECOND DEGREE MURDER,39-13-210,Felony A,05/19/2020
184,C2104473,1,ASSAULT-BODILY HARM,39-13-101,Misdemeanor A,06/01/2020
185,C2103564,1,FAIL TO APPEAR IN MISDEMEANOR CASE,39-16-609,Misdemeanor A,05/27/2021
186,C2103563,1,CRIMINAL ATTEMPT-THEFT OF PROPERTY $2500-$10000,39-14-103,Felony E,11/21/2020
187,C2103563,2,EVADING ARREST,39-16-603,Misdemeanor A,11/21/2020
188,C2006167,1,CONVICTED FELON IN POSS OF FIREARM,39-17-1307,Felony B,05/17/2020
189,C2006169,1,FAIL TO APPEAR IN MISDEMEANOR CASE,39-16-609,Misdemeanor A,10/22/2020
190,C2002839,1,AGGRAVATED CHILD ABUSE,39-15-402,Felony B,06/25/2019
191,C2101123,1,FINANCIAL EXPLOITATION ELDERLY/VULNERABLE PERSON,39-15-502,Felony E,12/06/2019
192,C2101123,2,IDENTITY THEFT,39-14-150,Felony D,12/06/2019
193,C2103685,1,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,07/22/2020
194,C2103685,2,AGGRAVATED ASSAULT,39-13-102,Felony C,07/22/2020
195,C2005865,1,RECKLESS ENDANGERMENT W/DEADLY WEAP,39-13-103,Felony C,07/27/2020
196,C2105089,1,AGGRAVATED ROBBERY,39-13-402,Felony B,01/12/2021
197,C2104291,1,ESPECIALLY AGGRAVATED ROBBERY,39-13-403,Felony A,05/04/2021
198,C1807437,1,AGGRAVATED CHILD ABUSE-CHILD U/6,39-15-402,Felony A,08/14/2017
199,C1807437,2,CHILD ABUSE/NEG U/8 YRS W/INJURY,39-15-401,Felony D,08/14/2017
200,C1901275,1,SEXUAL EXPLOITATION OF MINOR,39-17-1003,Felony B,05/23/2013
201,C2102517,1,AGGRAVATED BURGLARY,39-14-403,Felony C,02/25/2020
202,C2102517,2,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,02/25/2020
203,C2102517,3,TAMPERING WITH/FABRICATING EVIDENCE,39-16-503,Felony C,02/25/2020
204,C2104938,1,INTENTIONALLY EVADE ARREST IN AUTO,39-16-603,Felony E,09/16/2021
205,C2105740,1,AGGRAVATED ARSON,39-14-302,Felony A,04/14/2020
206,16 02153-16103702,1,UPCS W/I METH,39-17-434,Felony B,02/05/2016
207,16 02153-16103702,2,UPCS W/I METH,39-17-434,Felony B,02/05/2016
208,16 02153-16103702,3,DRIVING WHILE LICENSE S/R/C W/PRIOR,55-50-504,Misdemeanor A,02/05/2016
209,16 02153-16103702,101,PET FOR SUSP SENTENCE,40-21-101,Civil Ordinances,02/05/2016
210,16 02153-16103702,102,PETITION TO REVOKE SUSP SENTENCE,40-35-311,Civil-Petition,12/10/2021
211,C1905871,1,AGGRAVATED STATUTORY RAPE,39-13-506,Felony D,10/31/2018
212,C1908076,2,IDENTITY THEFT,39-14-150,Felony D,09/19/2018
213,C1908076,3,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/19/2018
214,C1908076,4,POSS OF CONT SUBSTANCE MARIJUANA,39-17-418,Misdemeanor A,09/19/2018
215,C2103394,1,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,08/23/2020
216,C1908075,2,IDENTITY THEFT,39-14-150,Felony D,09/19/2018
217,C1908075,3,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/19/2018
218,C2103396,1,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,08/19/2020
219,C2103395,1,FAIL TO APPEAR IN MISDEMEANOR CASE,39-16-609,Misdemeanor A,04/12/2021
220,C2103398,1,FAIL TO APPEAR IN MISDEMEANOR CASE,39-16-609,Misdemeanor A,04/12/2021
221,C1908074,1,CONVICTED FELON IN POSS OF FIREARM,39-17-1307,Felony C,09/19/2018
222,C1908074,2,IDENTITY THEFT,39-14-150,Felony D,09/19/2018
223,C1908074,3,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,09/19/2018
224,C2104286,1,VOLUNTARY MANSLAUGHTER,39-13-211,Felony C,04/06/2021
225,C2104286,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,04/06/2021
226,C2104286,3,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,04/06/2021
227,C1903515,1,CONVICTED FELON IN POSS OF FIREARM,39-17-1307,Felony C,09/19/2018
228,C2001315,1,AGGRAVATED ROBBERY,39-13-402,Felony B,10/08/2019
229,C2001315,2,AGGRAVATED ROBBERY,39-13-402,Felony B,10/08/2019
230,C2001315,3,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,10/08/2019
231,C2000957,1,AGGRAVATED ROBBERY,39-13-402,Felony B,07/19/2019
232,C2103155,1,CRIMINAL ATTEMPT-BURGLARY MOTOR VEHICLE,39-14-402,Misdemeanor A,01/17/2020
233,C2103155,2,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,01/17/2020
234,C2004245,1,AGGRAVATED ROBBERY,39-13-402,Felony B,01/02/2020
235,C2004245,2,CARJACKING,39-13-404,Felony B,01/02/2020
236,C2004245,3,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,01/02/2020
237,C2004773,1,CARRY WEAPON W/I ON SCHOOL PROPERTY,39-17-1309,Felony E,01/02/2020
238,C2004773,2,THEFT OF PROPERTY $1000 OR LESS,39-14-103,Misdemeanor A,01/02/2020
239,C2103149,1,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,01/18/2020
240,C2103149,2,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,01/18/2020
241,C2103149,3,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,01/18/2020
242,C2103149,4,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,01/18/2020
243,C2103149,5,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,01/18/2020
244,C2103140,1,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,01/02/2020
245,C2103140,2,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,01/02/2020
246,C2103140,3,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,01/02/2020
247,C2103140,4,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,01/02/2020
248,C2103140,5,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,01/02/2020
249,C2103157,1,CRIMINAL ATTEMPT-BURGLARY MOTOR VEHICLE,39-14-402,Misdemeanor A,01/02/2020
250,C2103157,2,BURGLARY - MOTOR VEHICLE,39-14-402,Felony E,01/02/2020
251,C2004452,1,AGGRAVATED ASSAULT,39-13-102,Felony C,11/11/2019
252,C2004452,2,AGGRAVATED ASSAULT,39-13-102,Felony C,11/11/2019
253,C2004451,1,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,10/18/2019
254,C2004449,1,AGGRAVATED BURGLARY-ACT IN CONCERT,39-14-403,Felony B,10/27/2019
255,C2004449,2,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,10/27/2019
256,C2004449,3,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,10/27/2019
257,C2004449,4,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,10/27/2019
258,C2004449,5,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,10/27/2019
259,C2004449,6,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,10/27/2019
260,C2004449,7,RECKLESS ENDANGERMENT W/DEADLY WEAP,39-13-103,Felony C,10/27/2019
261,C2004449,8,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,10/27/2019
262,C2004449,9,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,10/27/2019
263,C2004450,1,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,09/23/2019
264,C2004481,1,AGGRAVATED ASSAULT,39-13-102,Felony C,11/14/2019
265,C2004481,2,AGGRAVATED ASSAULT,39-13-102,Felony C,11/14/2019
266,C2004480,1,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,11/14/2019
267,C2004480,2,POSS MARIJUANA W/I MAN/DEL/SELL,39-17-417,Felony E,11/14/2019
268,C2004480,3,POSS COCAINE W/I MANUF/SELL/DEL,39-17-417,Felony B,11/14/2019
269,C2004480,4,POSS COCAINE W/I MANUF/SELL/DEL,39-17-417,Felony B,11/14/2019
270,C2004480,5,POSS FIREARM/COMMISSION OF FELONY,39-17-1324,Felony D,11/14/2019
271,C2004482,1,AGGRAVATED ASSAULT,39-13-102,Felony C,11/16/2019
272,C2004902,1,AGGRAVATED BURGLARY,39-14-403,Felony C,10/10/2019
273,C2004902,2,THEFT OF PROPERTY $2500-$10000,39-14-103,Felony D,10/10/2019
274,C2100369,1,AGGRAVATED ASSAULT-ACT IN CONCERT,39-13-102,Felony B,11/09/2019
275,C2005565,1,CRIM ATT-FIRST DEGREE MURDER,39-13-202,Felony A,11/09/2019
276,C2005565,2,EMPLOY FIREARM W/I TO COMMIT FELONY,39-17-1324,Felony C,11/09/2019
277,C2002950,1,THEFT OF PROPERTY $10000-$60000,39-14-103,Felony C,10/15/2019
278,C2002950,2,FORGERY $10000-$60000,39-14-114,Felony C,10/15/2019
279,C2103499,1,AGGRAVATED ASSAULT,39-13-102,Felony C,11/15/2020
280,C2103500,1,AGGRAVATED ASSAULT,39-13-102,Felony C,11/15/2020
281,C2103500,2,CONVICTED FELON IN POSS OF FIREARM,39-17-1307,Felony C,11/15/2020
282,C2104233,1,THEFT OF PROPERTY $1000-$2500,39-14-103,Felony E,02/14/2019
283,C2101814,1,AGGRAVATED ROBBERY,39-13-402,Felony B,12/18/2020
284,C2104234,1,FAIL TO APPEAR IN MISDEMEANOR CASE,39-16-609,Misdemeanor A,09/08/2020
285,C2003073,1,RAPE,39-13-503,Felony B,03/10/2020
286,C2004447,1,UNLAWFUL CARRYING OR POSSESSION OF A WEAPON,39-17-1307,Felony B,05/19/2017
